,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,3454333173,4802761898,1727874540,1497324784,1213568867,1086918423,293608296,367936776,313365544,1588464093,3345147333,3996017653,2358071789,1837212072,2197651674,1126460306,1587212555,3238947432,2470170581,3309932806,1852454065,1369640514,3500338020,1600183180,1499982591,413763618,387172094,2136811379,5162444613,1762989433,3327054117,7345135457,3318373890,367937687,539610395,3307205855,1369640250,1674538442,1674982087
1,366445349,3457715520,1283742892,1283665602,3028967168,3916023452,3582264473,390687877,1540755637,4460381870,1283668946,1333237093,3116049498,3287757600,370736262,1253966479,4579257887,1270903043,363583446,1249862207,3277280564,370266263,3287432261,1342602384,3470711228,,,,,,,,,,,,,,
2,1334219813,1717670685,1626509792,3250382999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1728022033,7085472028,3304664392,2313100604,1261776235,2361226818,444159005,289820357,1260949135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2787978901,1257740786,1281192938,1255221605,2328033475,3271908161,497547752,1607081638,3560346027,1601962534,1255221492,1726217782,2785619059,251587192,3927260421,179854510,3897546737,6202105677,3927260412,447918328,604185101,3559043498,3271874156,,,,,,,,,,,,,,,,
